dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
analcatdata_supreme,rotf,121958,22.7032,success,0.0794521254233004,0.8974,0.08032117184362474,0.6531,0.08092054152712633,0.6892,0.07867176901934193,1.6405,0.07958834215825618,1.5437,0.07960458066946806,2.7328,0.07484283843902878,1.0127,0.07925281826655549,1.2593,0.07672303377399566,1.4523,0.07779330208789953,3.8932,0.07800490305296227,3.0748,0.07750772916109279,3.1532
analcatdata_supreme,rotf,671155,23.8048,success,0.0813190315895352,0.7377,0.08196881510478124,0.6562,0.08057680963214435,0.6795,0.08029279720372869,1.7268,0.08005513685624367,1.7155,0.08004226841271199,2.572,0.07987537023978176,0.93,0.07959976975859577,1.4443,0.07995667029870886,1.4939,0.07924363593975332,3.4271,0.07846874712287666,3.4813,0.0789224751930569,3.2391
analcatdata_supreme,rotf,131932,24.2873,success,0.07902478368646797,1.0378,0.08121211300724338,0.6511,0.07934754477306834,0.6715,0.0793095392991042,1.4829,0.07986455415520864,1.6005,0.07993219876485978,2.5149,0.07746238633291878,1.2458,0.07679254884710711,1.8874,0.08031034602939187,1.563,0.07762397630208044,3.6966,0.07800907114066656,3.2168,0.0781848027022592,4.107
analcatdata_supreme,rotf,365838,24.2539,success,0.0832942131466449,0.8123,0.08392512983805234,0.8137,0.083235200618404,0.6857,0.08227185625517086,1.4893,0.08216052882400883,1.4962,0.08229719604050484,2.4785,0.08196065482790721,1.0889,0.08249203858570046,1.4055,0.08258604592502337,1.8708,0.08082025688987259,3.6014,0.08172951058647115,3.0519,0.08165348817193657,3.6523
analcatdata_supreme,rotf,259178,24.4358,success,0.07218108010202987,0.8066,0.07294463015090381,0.7865,0.07365842482602339,0.6287,0.0732774463054157,1.4931,0.07328223551849182,1.4805,0.07365347489896994,2.4257,0.07324174150176253,1.2367,0.07389800057229522,1.3136,0.07383838527637898,1.3739,0.07241272745172211,4.2898,0.07216809880154514,3.794,0.07340428063755905,3.5306
visualizing_soil,rotf,121958,84.4731,success,0.056327129580731654,3.5875,0.05030437890467774,3.8513,0.043871973948291156,3.0193,0.04558264514177856,9.4501,0.043411473097567134,8.1507,0.0412291093238687,8.0497,0.08845787898361113,3.8555,0.08779351983503292,4.0385,0.09159148152434114,3.3066,0.06739695770992539,10.3409,0.06481740090349018,8.727,0.06640474019973376,11.6674
visualizing_soil,rotf,671155,85.1772,success,0.068943607462062,3.1638,0.06255026255819213,3.9437,0.06657043983716045,3.0769,0.051332516103968794,8.6589,0.04808621029813472,9.4378,0.049818102358302065,8.3237,0.07740278580275566,4.12,0.08234631552747436,4.4134,0.07904121032487499,3.5132,0.06726373934705475,10.1982,0.06794846744783822,10.1843,0.06834690030471952,10.9644
visualizing_soil,rotf,131932,88.9022,success,0.052377719158028975,3.3172,0.05072869773263825,4.2262,0.05052195700349354,3.3873,0.05046854474235277,8.3696,0.04850903411765933,8.8048,0.04787151416342183,9.5686,0.07412344770884212,4.7851,0.08096798959859858,3.6526,0.07774516764182295,4.4895,0.06037830092837839,10.1102,0.06262576178801653,10.2139,0.06562628350744289,12.0914
visualizing_soil,rotf,365838,91.0632,success,0.05484329650233452,3.6158,0.0529465625717647,4.1334,0.048408004855160745,3.3919,0.04597491925481521,10.0717,0.04504459357886842,8.3266,0.04359229079255125,8.9249,0.0724782760838776,4.1844,0.0687844660988839,4.6423,0.06949229424116964,4.4816,0.06614390900184175,12.0441,0.06387893107020559,10.2832,0.06173251640453089,9.9904
visualizing_soil,rotf,259178,92.2535,success,0.05825521616683139,3.2882,0.05825532207757622,4.2711,0.05712588751457546,4.6217,0.05007908167488382,9.4033,0.047739201916071505,9.1652,0.04862593300942719,9.163,0.0814986334910313,4.8575,0.08851502020045365,3.2016,0.09258427664557556,5.5501,0.07471928142632854,10.4895,0.07876808307290777,11.7104,0.08312392868553,10.8063
diamonds,rotf,121958,2083.5745,success,0.09404040001129044,97.4056,0.0938242199258754,103.9485,0.09398854603390643,94.7558,0.09259400187363709,201.1601,0.09268702115433285,190.8798,0.09256778287429769,192.7311,0.09519880739732907,109.2963,0.09545146312150833,110.1428,0.09521884863110049,105.6421,0.09216066116340375,253.757,0.09217533029814412,239.703,0.09194740571053428,267.5463
diamonds,rotf,671155,2084.9701,success,0.09450681062397243,100.8749,0.0944809041544684,103.4061,0.09438472905024903,97.8435,0.09202616117324725,196.4371,0.09215637480536765,180.4971,0.09214890993512563,179.2017,0.09447381377055995,115.8671,0.09466627236036203,112.58,0.09461767968765021,104.9259,0.09149654690583504,241.1247,0.09155778643794353,256.0218,0.09174843094350756,271.6759
diamonds,rotf,131932,2017.7269,success,0.09380947785565569,97.1579,0.0939521653790394,103.2413,0.09392634522883997,92.6075,0.09206456688359442,200.1803,0.09223238359181966,171.1353,0.09211246118024356,181.7154,0.09420998039919604,109.9223,0.09415118846351755,109.8851,0.09403300821312059,94.1855,0.09157386072735678,228.9779,0.0916268051510496,250.5674,0.09158729938309702,236.1539
diamonds,rotf,365838,2026.5197,success,0.09417297803775139,91.875,0.09450430311522318,88.8794,0.09427730301699733,87.5723,0.09196284941243103,206.5691,0.09207541806832938,185.9664,0.0921739189022973,190.962,0.09341700235503592,107.6449,0.09337627638358216,118.2666,0.09362183942945822,101.3368,0.09085203431009477,242.304,0.09093591314977252,239.8923,0.09114007361713754,242.8092
diamonds,rotf,259178,2031.4675,success,0.0928786066305234,101.1917,0.09286037309781758,108.1488,0.0928794673079349,95.1024,0.09203702604898745,201.7979,0.09203931389384562,196.3644,0.09212054805570102,180.3515,0.09260531615596,103.4206,0.09284737968021435,102.0478,0.09278328634987931,93.7083,0.09162370273122196,240.058,0.0918580834954323,243.108,0.09183838740292094,245.2124
